name,categories,ingredients,url
"Sucadelap, rode kool met appel en aardappelen","Keukens, Hollands, Rundvlees","aardappel (34%), rode kool (24%), water, rundvlees (14%), appel (7%), rietsuiker, aardappelzetmeel, zonnebloemolie ongehard, appelazijn, gemodificeerd aardappelzetmeel, maltodextrine, zout, gemodificeerd maiszetmeel, gejodeerd zout, kruiden & specerijen, gekarameliseerde suiker, tomatenpuree, aroma, karamelsuikerstroop, ui, uienpoeder, suiker, gistextract, maisolie ongehard, stabilisatoren (xanthaangom, E452, E451), geconcentreerd citroensap, voedingszuren (citroenzuur), kleurstoffen (E150d, E150c), paprika, antioxidanten (E300), maisolie, natuurlijk aroma, rundvleesextract, suikerstroop, sinaasappelschil, uiensap, verdikkingsmiddel (guargom), azijn, wijnazijn.",https://versvoorthuis.nl/nl/gerecht/105-sucadelap-rode-kool-met-appel-en-aardappelen
Runderhachee met rode kool en aardappelpuree,"Keukens, Hollands, Rundvlees, Natriumarm, Kleine maaltijden (350 gram)","Runderhachee met rode kool en aardappelpuree, 500 gram, Portie:, 500 gram  - € 8,55, 350 gram  - € 6,97, Toevoegen, Product toegevoegd aan uw mandje, Bekijk mandje, Bekijk meer maaltijden, Dit product is nu niet op voorraad. Voer je e-mail adres in om op de hoogte te blijven van ons aanbod, Verzend, In categorieën:, Keukens, ,, Hollands, ,, Rundvlees, ,, Natriumarm, ,, Kleine maaltijden (350 gram), ,, Voedingswaarde Per 100 (g), Product omschrijving, Klassieke runderhachee in rijke jus, geserveerd met rode kool en romige aardappelpuree., Ingrediënten, Allergie informatie",https://versvoorthuis.nl/nl/gerecht/runderhachee-met-rode-kool-en-aardappelpuree
Vegetarische kip pangang met nasi goreng (Vega),"Keukens, Vegetarisch, Vegetarisch","rijst (47%), water, witte kool, prei, ui, suiker, wortel, soja-eiwit (soja), zonnebloemolie ongehard, natuurazijn, kippenei-eiwit (eieren), gemodificeerd aardappelzetmeel, azijn, zout, tarwezetmeel (tarwe), kruiden & specerijen, plantaardige olie ongehard, raapzaadolie ongehard, suikerstroop, tomatenpoeder, tarwegluten (tarwe), soja-eiwitisolaat (soja), natuurlijk aroma (mosterd, selderij), gejodeerd zout, uienpoeder, glucose-fructosestroop, invertsuikerstroop, rode bietenpoeder, tarwebloem (tarwe), gistextract, spinaziepoeder, glucosestroop gedroogd (tarwe), vitamine b12, ijzer, maltodextrine, sojabonen (soja), melasse, gehydrolyseerd soja en maiseiwit (soja), voedingszuren (citroenzuur, melkzuur, azijnzuur), gekarameliseerde suiker, zetmeel, zuurteregelaars (E500), antiklontermiddelen (E535), selderij (selderij), conserveermiddelen (E211, E224, E202), kleurstoffen (karamel), paprikasap concentraat, stabilisatoren (xanthaangom).",https://versvoorthuis.nl/nl/gerecht/148-vegetarische-kip-pangang-met-nasi-goreng
"Vegetarische kip pilav, groentemix en rijst (Vega)","Keukens, Vegetarisch, Vegetarisch","rijst (30%), water, boterbonen (11%), broccoli, sperziebonen (7%), wortel (7%), courgette (3%), soja-eiwit (soja), zonnebloemolie ongehard, kippenei-eiwit (eieren), suiker, azijn, peer, perzik, tarwezetmeel (tarwe), verdikkingsmiddel (gemodificeerd aardappelzetmeel, guargom), tomatenpoeder, uienpoeder, kruiden & specerijen (selderij), zout, rode bietenpoeder, tarwegluten (tarwe), soja-eiwitisolaat (soja), natuurlijk aroma (mosterd, selderij), aardappelzetmeel, glucosestroop, glucose-fructosestroop, ananas, raapzaadolie ongehard, voedingszuren (citroenzuur, azijnzuur), druif, vitamine b12, ijzer, kers, palmvet ongehard, gistextract, aroma, ui, gemodificeerd maiszetmeel, kleurstoffen (karamel), conserveermiddelen (E202), stabilisatoren (xanthaangom).",https://versvoorthuis.nl/nl/gerecht/200-vegetarische-kip-pilav-groentemix-en-rijst
"Vegetarische stroganoff, doperwten en aardappelpuree (Vega)","Keukens, Vegetarisch, Gevogelte, Vegetarisch","erwten (36%), aardappel (22%), water, melk (lactose, melk), paprika, ui, zonnebloemolie ongehard, soja-eiwit (soja), champignon, kippenei-eiwit (eieren), azijn, zout, tomaat, tarwezetmeel (tarwe), augurk, kruiden & specerijen, palmvet ongehard, room (lactose, melk), gemodificeerd aardappelzetmeel, vodka, tarwebloem (tarwe), madeira, verdikkingsmiddel (gemodificeerd aardappelzetmeel, guargom), tarwegluten (tarwe), soja-eiwitisolaat (soja), tomatenpuree, suiker, maltodextrine, natuurlijk aroma, gejodeerd zout, aroma (gerst, tarwe), gistextract, vitamine b12, ijzer, natuurazijn, boteraroma (lactose, melk), conserveermiddelen (E202), melksuiker (lactose, melk), aardappelzetmeel, melkeiwitten (lactose, melk), zetmeel, voedingszuren (citroenzuur, azijnzuur), uienpoeder, raapzaadolie ongehard, gemodificeerd maiszetmeel, antioxidanten (E300), kleurstoffen (E101), zoetstoffen (E954), stabilisatoren (xanthaangom).",https://versvoorthuis.nl/nl/gerecht/184-vegetarische-stroganoff-doperwten-en-aardappelpuree
"Chickenless dippers, bloemkool met saus en aardappelpuree (Vega)","Keukens, Vegetarisch, Gevogelte, Vegetarisch","bloemkool (32%), aardappel (29%), water, melk (lactose, melk), tarwebloem (tarwe), zonnebloemolie ongehard, tarwegluten (tarwe), zout, kruiden & specerijen, tarwezetmeel (tarwe), aardappelzetmeel, kokosolie ongehard, erwten, soja (soja), soja-eiwit (soja), palmvet ongehard, verdikkingsmiddel (gemodificeerd maiszetmeel, E461), azijn, rijst, gistextract, paprika-extract, gemodificeerd tarwezetmeel (tarwe), paneermeel (tarwe), tarwevezel (tarwe), natuurlijk aroma (tarwe), gemodificeerd aardappelzetmeel, gemodificeerd maiszetmeel, maltodextrine, conserveermiddelen (E202), boteraroma (lactose, melk), palmolie ongehard, gejodeerd zout, voedingszuren (soja) (citroenzuur, E322 (soja)), melkeiwitten (lactose, melk), lactose (lactose, melk), ui, vitamine b12, ijzer, rijsmiddelen (E500i), volle melkpoeder (lactose, melk), uienpoeder, raapzaadolie ongehard, gehydrolyseerd plantaardig eiwit (tarwe), tomatenpuree, maisolie, aroma, karamelsuikerstroop, stabilisatoren (xanthaangom), antioxidanten (E306), paprika.",https://versvoorthuis.nl/nl/gerecht/188-chickenless-dippers-bloemkool-met-saus-en-aardappelpuree
"Vegetarische schnitzel, bruine bonen en aardappelen (Vega)","Keukens, Vegetarisch, Gevogelte, Vegetarisch","water, aardappel (30%), bruine bonen (29%), tarwebloem (tarwe), zonnebloemolie ongehard, soja-eiwit (soja), tarwegluten (tarwe), soja-eiwitisolaat (soja), tarwezetmeel (tarwe), aardappelzetmeel, gemodificeerd aardappelzetmeel, gemodificeerd maiszetmeel, gejodeerd zout, kruiden & specerijen, maltodextrine, zout, verdikkingsmiddel (gemodificeerd aardappelzetmeel, E461), azijn, aroma, citroensap, zuurteregelaars (kaliumchloride, calciumchloride), tomatenpuree, maisolie, gistextract, ui, vitamine b12, ijzer, gebufferd azijn, natuurlijk aroma, karamelsuikerstroop, paprika, uienpoeder, raapzaadolie ongehard.",https://versvoorthuis.nl/nl/gerecht/168-vegetarische-schnitzel-bruine-bonen-en-aardappelen
"Vegetarische schnitzel, rode kool met appel en aardappelen (Vega)","Keukens, Vegetarisch, Gevogelte, Vegetarisch","aardappel (36%), rode kool (24%), water, appel (7%), tarwebloem (tarwe), zonnebloemolie ongehard, aardappelzetmeel, rietsuiker, soja-eiwit (soja), tarwegluten (tarwe), soja-eiwitisolaat (soja), tarwezetmeel (tarwe), kruiden & specerijen, appelazijn, zout, gejodeerd zout, azijn, gemodificeerd aardappelzetmeel, gemodificeerd maiszetmeel, maltodextrine, citroensap, geconcentreerd citroensap, vitamine b12, ijzer, zuurteregelaars (kaliumchloride), gebufferd azijn, verdikkingsmiddel (E461), natuurlijk aroma, antioxidanten (E300), voedingszuren (citroenzuur), tomatenpuree, maisolie, aroma, ui, karamelsuikerstroop, paprika.",https://versvoorthuis.nl/nl/gerecht/131-vegetarische-schnitzel-rode-kool-met-appel-en-aardappelen
"Vegetarische schnitzel, spruitjes en aardappelpuree (Vega)","Keukens, Vegetarisch, Gevogelte, Vegetarisch","spruiten (36%), aardappel (24%), water, melk (lactose, melk), tarwebloem (tarwe), zonnebloemolie ongehard, soja-eiwit (soja), tarwegluten (tarwe), soja-eiwitisolaat (soja), tarwezetmeel (tarwe), aardappelzetmeel, zout, kruiden & specerijen, gemodificeerd aardappelzetmeel, gemodificeerd maiszetmeel, verdikkingsmiddel (gemodificeerd aardappelzetmeel, E461), maltodextrine, azijn, gejodeerd zout, conserveermiddelen (E202), boteraroma (lactose, melk), aroma, citroensap, gistextract, tomatenpuree, maisolie, vitamine b12, ijzer, zuurteregelaars (kaliumchloride), gebufferd azijn, natuurlijk aroma, ui, karamelsuikerstroop, uienpoeder, raapzaadolie ongehard, paprika.",https://versvoorthuis.nl/nl/gerecht/150-vegetarische-schnitzel-spruitjes-en-aardappelpuree
Tempeh ketjap met nasi goreng (Vega),"Keukens, Vegetarisch, Gevogelte, Vegetarisch","rijst (47%), water, sojabonen (soja), prei, ui, witte kool, melasse, suiker, wortel, zonnebloemolie ongehard, rijstemeel, zout, kruiden & specerijen, gemodificeerd maiszetmeel, azijn, natuurazijn, gehydrolyseerd soja-eiwit (soja), plantaardige olie ongehard, ent culture, raapzaadolie ongehard, suikerstroop, glucose-fructosestroop, invertsuikerstroop, natuurlijk aroma (mosterd, selderij), tarwebloem (tarwe), spinaziepoeder, glucosestroop gedroogd (tarwe), gistextract, conserveermiddelen (E211, E202), verdikkingsmiddel (johannesbroodpitmeel, guargom), maltodextrine, gekarameliseerde suiker, voedingszuren (azijnzuur, melkzuur, citroenzuur), antioxidanten (E300), dextrose, stabilisatoren (xanthaangom), gehydrolyseerd soja en maiseiwit (soja), zetmeel, zuurteregelaars (E500), antiklontermiddelen (E535), selderij (selderij), kleurstoffen (karamel), groenten, paprikasap concentraat.",https://versvoorthuis.nl/nl/gerecht/165-tempeh-ketjap-met-nasi-goreng
Tempeh satésaus met bami goreng (Vega),"Keukens, Vegetarisch, Gevogelte, Vegetarisch","durum tarwegries (tarwe), water, sojabonen (soja), ui, witte kool, pinda (4%)(pinda), prei, wortel, zonnebloemolie ongehard, suiker, rijstemeel, suikerstroop, zout, plantaardige olie ongehard, ent culture, verdikkingsmiddel (gemodificeerd maiszetmeel), kruiden & specerijen, raapzaadolie ongehard, azijn, glucose-fructosestroop, gejodeerd zout, invertsuikerstroop, natuurlijk aroma (mosterd, selderij), tarwebloem (tarwe), spinaziepoeder, glucosestroop gedroogd (tarwe), gistextract, uienpoeder, maltodextrine, melasse, gehydrolyseerd soja en maiseiwit (soja), zetmeel, gekarameliseerde suiker, zuurteregelaars (E500), antiklontermiddelen (E535), selderij (selderij), conserveermiddelen (E211, E210, E202), voedingszuren (melkzuur, azijnzuur, citroenzuur), kleurstoffen (karamel), stabilisatoren (xanthaangom), paprikasap concentraat",https://versvoorthuis.nl/nl/gerecht/186-tempeh-satesaus-met-bami-goreng
Tempeh satésaus met nasi goreng (Vega),"Keukens, Vegetarisch, Gevogelte, Vegetarisch","rijst (47%), water, sojabonen (soja), prei, ui, witte kool, pinda (4%)(pinda), wortel, zonnebloemolie ongehard, suiker, rijstemeel, suikerstroop, zout, plantaardige olie ongehard, ent culture, verdikkingsmiddel (gemodificeerd maiszetmeel), kruiden & specerijen, raapzaadolie ongehard, glucose-fructosestroop, gejodeerd zout, invertsuikerstroop, natuurlijk aroma (mosterd, selderij), tarwebloem (tarwe), spinaziepoeder, glucosestroop gedroogd (tarwe), gistextract, uienpoeder, maltodextrine, melasse, gehydrolyseerd soja en maiseiwit (soja), zetmeel, gekarameliseerde suiker, zuurteregelaars (E500), antiklontermiddelen (E535), selderij (selderij), conserveermiddelen (E211, E210, E202), voedingszuren (melkzuur, azijnzuur, citroenzuur), kleurstoffen (karamel), stabilisatoren (xanthaangom), paprikasap concentraat.",https://versvoorthuis.nl/nl/gerecht/139-tempeh-satesaus-met-nasi-goreng
Erwtensoep met vlees en worst,"Keukens, Hollands, Varkensvlees, Kleine maaltijden (350 gram)","water, spliterwten (13%), varkensvlees (8%), aardappel, prei, knolselderij (selderij), varkensseparatorvlees, ui, bladselderij (selderij), zout, aardappelzetmeel, kruiden & specerijen, natuurlijk aroma (mosterd, selderij), glucosestroop, dextrose, raapzaadolie ongehard, rookaroma, rundercollageen, conserveermiddelen (E250, E252), antioxidanten (E316, E301), stabilisatoren (E452), emulgatoren (E450), voedingszuren (citroenzuur).",https://versvoorthuis.nl/nl/gerecht/147-erwtensoep-met-vlees-en-worst
Nasi goreng met kipsate in satesaus,"Keukens, Oosters, Gevogelte, Kleine maaltijden (350 gram)","rijst (47%), water, kip (11%), prei, ui, witte kool, pinda (4%)(pinda), wortel, suiker, suikerstroop, zout, plantaardige olie ongehard, verdikkingsmiddel (gemodificeerd maiszetmeel), kruiden & specerijen, raapzaadolie ongehard, soja-olie ongehard (soja), xylose, tapiocazetmeel, glucose-fructosestroop, gejodeerd zout, sojabonen (soja), invertsuikerstroop, natuurlijk aroma (mosterd, selderij), tarwebloem (tarwe), spinaziepoeder, glucosestroop gedroogd (tarwe), gistextract, uienpoeder, maltodextrine, melasse, gehydrolyseerd soja en maiseiwit (soja), zetmeel, zonnebloemolie ongehard, gekarameliseerde suiker, zuurteregelaars (E500), antiklontermiddelen (E535), selderij (selderij), conserveermiddelen (E211, E210, E202), voedingszuren (melkzuur, azijnzuur, citroenzuur), kleurstoffen (karamel), stabilisatoren (xanthaangom), paprikasap concentraat.",https://versvoorthuis.nl/nl/gerecht/182-nasi-goreng-met-kipsate-in-satesaus
Kip Jambalaya met broccoli en rijst,"Keukens, Oosters, Gevogelte","rijst (35%), broccoli (32%), water, kip (8%), suiker, ui, paprika, bleekselderij (selderij), perzik, ananas, natuurazijn, gemodificeerd aardappelzetmeel, zout, verdikkingsmiddel (gemodificeerd aardappelzetmeel, guargom), tomatenpoeder, kruiden & specerijen, soja-olie ongehard, xylose, tapiocazetmeel, gejodeerd zout, uienpoeder, rode bietenpoeder, gistextract, invertsuiker, aroma, azijn, raapzaadolie ongehard, voedingszuren (citroenzuur, azijnzuur), gemodificeerd maiszetmeel, natuurlijk aroma, conserveermiddelen (E224, E202, E211), stabilisatoren (xanthaangom).",https://versvoorthuis.nl/nl/gerecht/149-kip-jambalaya-met-broccoli-en-rijst
Stamppot hete bliksem met speklap,"Keukens, Hollands, Varkensvlees, Kleine maaltijden (350 gram)","aardappel (30%), water, appel (20%), varkensvlees (14%), suiker, zonnebloemolie ongehard, melkpoeder (lactose, melk), gejodeerd zout, gemodificeerd aardappelzetmeel, maltodextrine, gemodificeerd maiszetmeel, zout, natuurlijk aroma (mosterd, selderij), raapzaadolie gehard, dextrose, kruiden & specerijen (selderij), aardappelzetmeel, melk (lactose, melk), room (lactose, melk), tarwezetmeel (tarwe), kleurstoffen (paprika-extract, caroteen), voedingszuren (soja) (citroenzuur, E331, E322 (soja)), antioxidanten (E300, E304), aroma (selderij, soja), tomatenpuree, maisolie, glucosestroop, natuurlijk ui aroma, gekarameliseerde suiker, natuurazijn, antiklontermiddelen (E551), gistextract, gehydrolyseerd soja-eiwit (soja), smaakversterkers (E640), maiszetmeel, uienextract, zuurteregelaars (E500), verdikkingsmiddel (E407), ui, karamelsuikerstroop, raapzaadolie ongehard, paprika, emulgatoren (E450), conserveermiddelen (E223).",https://versvoorthuis.nl/nl/gerecht/179-stamppot-hete-bliksem-met-speklap
Stamppot zuurkool met rookworst,"Keukens, Hollands, Varkensvlees, Kleine maaltijden (350 gram)","aardappel (36%), water, zuurkool (20%), varkensvlees (14%), zonnebloemolie ongehard, melkpoeder (lactose, melk), zout, gejodeerd zout, gemodificeerd aardappelzetmeel, gemodificeerd maiszetmeel, kruiden & specerijen (mosterd, selderij), rundercollageen, maltodextrine, suiker, rookaroma, raapzaadolie gehard, natuurlijk aroma (mosterd, selderij), melk (lactose, melk), room (lactose, melk), verdikkingsmiddel (gemodificeerd aardappelzetmeel), aroma, natuurazijn, glucosestroop, tomatenpuree, maisolie, antioxidanten (E316, E304), emulgatoren (E450), voedingszuren (soja) (citroenzuur, E322 (soja)), conserveermiddelen (E250), stabilisatoren (E452), raapzaadolie ongehard, ui, karamelsuikerstroop, gistextract, paprika, uienpoeder, kleurstoffen (caroteen).",https://versvoorthuis.nl/nl/gerecht/142-stamppot-zuurkool-met-rookworst
Foe yong hai met bami goreng,"Keukens, Vegetarisch, Vegetarisch","durum tarwegries (tarwe), water, ui, kippenei (eieren), witte kool, prei, suiker, wortel, champignon, natuurazijn, melk (lactose, melk), room (lactose, melk), gemodificeerd aardappelzetmeel, zonnebloemolie ongehard, zout, plantaardige olie ongehard, kruiden & specerijen, suikerstroop, raapzaadolie ongehard, azijn, tomatenpoeder, gejodeerd zout, uienpoeder, glucose-fructosestroop, invertsuikerstroop, natuurlijk aroma (mosterd, selderij), maltodextrine, rode bietenpoeder, tarwebloem (tarwe), spinaziepoeder, glucosestroop gedroogd (tarwe), gistextract, gemodificeerd maiszetmeel, raapolie ongehard, sojabonen (soja), melasse, gehydrolyseerd soja en maiseiwit (soja), voedingszuren (citroenzuur, azijnzuur, melkzuur), gekarameliseerde suiker, zetmeel, zuurteregelaars (E500), antiklontermiddelen (E535), selderij (selderij), antioxidanten (E300), conserveermiddelen (E211, E224, E202), kleurstoffen (karamel), stabilisatoren (xanthaangom), verdikkingsmiddel (guargom), paprikasap concentraat.",https://versvoorthuis.nl/nl/gerecht/149-foe-yong-hai-met-bami-goreng
Ajam ketjap met nasi goreng,"Keukens, Oosters, Gevogelte, Kleine maaltijden (350 gram)","rijst (47%), kip (11%), water, prei, ui, witte kool, melasse, suiker, wortel, zout, kruiden & specerijen, plantaardige olie ongehard, gemodificeerd maiszetmeel, azijn, natuurazijn, gehydrolyseerd soja-eiwit (soja), raapzaadolie ongehard, suikerstroop, rijstzetmeel, glucose-fructosestroop, invertsuikerstroop, dextrose, natuurlijk aroma (mosterd, selderij), tarwebloem (tarwe), spinaziepoeder, glucosestroop gedroogd (tarwe), gistextract, conserveermiddelen (E211, E202), verdikkingsmiddel (johannesbroodpitmeel, guargom), voedingszuren (azijnzuur, E331, melkzuur, citroenzuur), maltodextrine, sojabonen (soja), gekarameliseerde suiker, antioxidanten (E300), stabilisatoren (xanthaangom), gehydrolyseerd soja en maiseiwit (soja), zuurteregelaars (E500), xylose, zonnebloemolie ongehard, zetmeel, antiklontermiddelen (E535), selderij (selderij), kleurstoffen (karamel), groenten, paprikasap concentraat.",https://versvoorthuis.nl/nl/gerecht/158-ajam-ketjap-met-nasi-goreng
