Categorie,Naam,Ingrediënten,URL
Hollandse maaltijden,Varkensrollade in jus met andijvie à la crème en gekookte aardappelen,"Andijvie gegaard 30%, aardappelen 25%, water, varkensrollade 16% (varkensvlees, appel, specerijen, water, geroosterde knoflook, ui), ROOM, volleMELKpoeder, zetmeel, zonnebloemolie, rundvleesextract (rundvlees, zout), TARWEbloem, gemodificeerd zetmeel, zout, tomatenconcentraat, kleurstof: karamel, groentebouillon (groente-extracten (wortelen, uien, bloemkool, tomaten, champignons, lavas, knoflook), zout, plantaardige olie (koolzaad, zonnebloem), suiker, zetmeel, kruiden, specerijen, specerij-extract), knoflook, specerijen.",https://www.versaantafel.nl/varkensrollade-met-andijvie-en-aardappelen
Hollandse maaltijden,Varkenshaas in champignonroomsaus met groentenmix en gebakken gekruide aardappelblokjes,"groenten in wisselende verhoudingen 28% (bloemkool, erwten, wortelen, romanobonen), gebakken aardappelblokjes 26% (aardappel, zonnebloemolie, kruiden, zout, knoflook, specerijen, dextrose), varkenshaasmedaillon 18% (varkensvlees, dextrose, water, zout, gekaramelliseerde suiker, zuurteregelaar: glycine en natriumglycinaat), water, champignons 5%, ROOM 2%, uien, volleMELKpoeder, plantaardige oliën (zonnebloem, koolzaad, in wisselende verhoudingen), BOTER, TARWEbloem, gemodificeerd zetmeel, rundvleesextract (rundvlees, zout), bouillon (groente-extracten (wortelen, uien, bloemkool, tomaten, champignons), zout, plantaardige olie (zonnebloem, koolzaad, raapzaad), suiker, zetmeel, water, kruiden, specerij-extract, specerijen, lavas, knoflook), zout, knoflook, kruiden, peper.",https://www.versaantafel.nl/varkenshaas-in-champignonsaus-met-een-groentemix-en-gebakken-aardappelen
Hollandse maaltijden,Slavink in jus met spruitjes en aardappelpuree,"Spruiten 30%, aardappelen 24%, water, blinde vink 14% (varkensvlees, rundvlees, zetmeel, vezels, water, zout, dextrose, koriander, specerijen), zonnebloemolie, volleMELKpoeder, ROOM, BOTER, EIgeel, rundvleesextract (rundvlees, zout), TARWEbloem, gemodificeerd zetmeel, zout, tomatenconcentraat, kleurstof: karamel, groentebouillon (groente-extracten (wortelen, uien, bloemkool, tomaten, champignons, lavas, knoflook), zout, plantaardige olie (koolzaad, zonnebloem), suiker, zetmeel, kruiden, specerijen, specerij-extract), knoflook, specerijen.",https://www.versaantafel.nl/slavink-in-jus-met-spruitjes-en-aardappelpuree
Hollandse maaltijden,Kippenragout met worteltjes- en doperwtenmix en rijst,"Rijst gekookt 26%, erwten 17%, kippenvlees 14% (kip, zout, kippengelatine), water, wortelen 11%, halfvolle MELK, champignons 3%, ROOM, gemodificeerd zetmeel, zonnebloemolie, bouillon (kippenfond (water, kippenvet, kippenvlees, rozemarijnextract), zout, bruine suiker, zetmeel, gistextract, zonnebloemolie, groente-extracten (SELDERIJ, uien, prei, tomaten, wortelen ) uienpoeder, knoflook, kruiden en specerijen), TARWEbloem, suiker, citroensap uit concentraat, zout, specerijen.",https://www.versaantafel.nl/romige-kippenragout-met-worteltjes-en-doperwtenmix-en-rijst
Hollandse maaltijden,Kip in kerriesaus met doperwten en rijst,"Erwten 33%, gekookte rijst met peterselie 31% (water, rijst 14%, peterselie 0,2%), water, geroosterde kip 12% (kip, dextrose, zout), wortelen 3%, kokosmelk (kokosnootextract, water), plantaardige oliën (zonnebloem, koolzaad, in wisselende verhoudingen), uien, ananas 0,7%, gemodificeerd zetmeel, TARWEbloem, bouillon (zout, zetmeel, LACTOSE, maltodextrine, natuurlijk aroma, dextrose, kippenvet en -vlees, uien, wortelen, koolzaadolie, specerijen), suiker, curry madras 0,2% (specerijen (MOSTERD, SELDERIJ), kruiden), knoflook, ananassap uit sapconcentraat, zout, limoensap, specerijen.",https://www.versaantafel.nl/kip-in-kerriesaus-met-doperwten-en-rijst
Hollandse maaltijden,Draadjesvlees in biersaus met rode kool en rösti’s,"Rode kool met appel 34% (rode kool, water, appelmoes (appelen, zuurteregelaar: citroenzuur, antioxidant: ascorbinezuur), appelsap uit sapconcentraat, appelen, suiker, gemodificeerd zetmeel, koolzaadolie, citroensap, champignon extract (champignonsapconcentraat, maltodextrine), laurier, specerijen), rösti 24% (aardappelen, palmolie, zout, dextrose, uienpoeder, emulgator: hydroxypropylmethylcellulose, peper), water, rundstoofvlees 10% (rundvlees, water, zetmeel, zout), uien, bruin bier 4% (water, GERSTEMOUT, maïs, fructosestroop, gebrande suiker, hop), pulled beef 4% (rundsvlees, zout), peperkoek (glucose-fructosestroop, ROGGEbloem, ROGGEzemelen, rijsmiddelen: natriumwaterstofcarbonaat, dinatriumdifosfaat, specerijen en aroma), plantaardige oliën (zonnebloem, koolzaad, in wisselende verhoudingen), gemodificeerd zetmeel, TARWEbloem, rundvleesextract (rundvlees, zout), bouillon (groente-extracten (wortelen, uien, bloemkool, tomaten, champignons), zout, plantaardige olie (zonnebloem, koolzaad), suiker, zetmeel, kruiden, specerij-extract, specerijen, lavas, knoflook), knoflook, kleurstof: karamel, kruiden, peper.",https://www.versaantafel.nl/draadjesvlees-in-een-verfijnde-biersaus-met-rode-kool-en-rosti-s
Hollandse maaltijden,Lekkerbekje met worteltjes- en doperwtenmix en gebakken gekruide aardappelblokjes,"Gebakken aardappelblokjes 33% (aardappel, zonnebloemolie, kruiden, zout, knoflook, specerijen, dextrose), erwten 23%, wortelen 23%, lekkerbek 20% (HEEKfilet, TARWEbloem, plantaardige olie (zonnebloem en/of raapzaad, in wisselende verhoudingen), zetmeel, zout, dextrose, rijsmiddel: natriumcarbonaat, kleurstoffen (karamel, wortel extract, paprika extract)), plantaardige oliën (zonnebloem, koolzaad, in wisselende verhoudingen), suiker.",https://www.versaantafel.nl/lekkerbekje-met-een-mix-van-worteltjes-en-doperwten-en-gekruide-aardappelblokjes
Hollandse maaltijden,Hamburger in uiensaus met appelmoes en gebakken aardappelblokjes,"Aardappelkubus gebakken 30% (aardappel, zonnebloemolie, dextrose), appelmoes 28% (appelen, zuurteregelaar: citroenzuur, antioxidant: ascorbinezuur), water, hamburger 16% (varkensvlees, rundvlees, water, zetmeel, zeezout, gedroogde groenten (ui), varkenseiwit, zout, specerijen, groentepoeder (ui, knoflook), natuurlijk aroma, groenten (geroosterde ui, kool, prei, ui, paprika, knoflook, knolSELDERIJ), plantaardige olie (zonnebloemolie), SELDERIJblad, gekaramelliseerde suiker), suiker, gegrilde uien 2%, plantaardige oliën (zonnebloem, koolzaad, in wisselende verhoudingen), fond (zetmeel, TARWEbloem, natuurlijk aroma, zout, sucrose, tomaat extract, wortelextract, dextrose, koolzaadolie, witte wijn extract, kalfsvlees, knoflook, peper, maltodextrine, oplosbare cichorei, tomaten, rundvet, rundsvlees), TARWEbloem, gemodificeerd zetmeel, tomatenconcentraat, alcoholazijn, kleurstof: karamel, zout, specerijen.",https://www.versaantafel.nl/hamburger-in-uiensaus-met-appelmoes-en-gebakken-aardappelen
Hollandse maaltijden,Spareribs in BBQ-saus met worteltjes- en doperwtenmix en gebakken aardappelblokjes,"Ribbetjes 37% (varkensvlees, zout, specerijen en kruiden (MOSTERD, SELDERIJ), chapelure (TARWEbloem, zout, rijsmiddel: ammoniumcarbonaat), glucosestroop, gistextract, specerijenextracten, dextrose, zetmeel, verdikkingsmiddelen: eucheuma-wier, xanthaangom, rookextract, aroma, antioxidanten: natriumcitraat, natriumascorbaat, zuurteregelaar: natriumascorbaat, stabilisatoren: difosfaat, trifosfaat), aardappelkubus gebakken 18% (aardappel, zonnebloemolie, dextrose), erwten 14%, wortelen 14%, tomatenketchup (tomaten, azijn, suiker, zout, extracten van kruiden en specerijen (SELDERIJ), specerijen), kandijsuiker (suiker, kandijstroop, kleurstof: ammoniakkaramel), tomaten, uien, water, zonnebloemolie, Luikse peren siroop (geconcentreerd sap van gekookte fruit: peren, appels, dadels, suiker), worcestershiresaus (azijn, melasse, moutazijn (GERST), water, suiker, tamarind, zout, uien, ansjovis (VIS), knoflook, specerijen, aroma), balsamico azijn, knoflook, gemodificeerd zetmeel, currypoeder (zout, suiker, knoflook, uien, spinazie, specerijen), specerijen. Let op! Deze maaltijd kan door kruiscontaminatie sporen van melk (lactose) bevatten.",https://www.versaantafel.nl/spareribs-in-bbq-saus-met-doperwten-worteltjes-en-gebakken-aardappelen
Hollandse maaltijden,Kip in rozemarijnsaus met broccoliroosjes en aardappelpuree,"Broccoli 29%, water, aardappelen 23%, geroosterde kip 12% (kip, dextrose, zout), plantaardige oliën (zonnebloem, koolzaad, in wisselende verhoudingen), volleMELKpoeder, uien, EIgeel, TARWEbloem, gemodificeerd zetmeel, balsamico azijn (wijnazijn, druivenmost), bouillon (zout, zetmeel, LACTOSE, maltodextrine, natuurlijk aroma, dextrose, kippenvet en -vlees, uien, wortelen, koolzaadolie, zonnebloemolie, groente-extracten (SELDERIJ, uien, tomaten, wortelen), uienpoeder, knoflook, specerijen), geroosterd kippenaroma, zout, tomatenconcentraat, kleurstof: karamel, knoflook, rozemarijn, specerijen.",https://www.versaantafel.nl/kip-in-rozemarijnsaus-met-broccoliroosjes-en-aardappelpuree
Hollandse maaltijden,Hamburger in uiensaus met rode kool en gebakken aardappelblokjes,"Aardappelkubus gebakken 27% (aardappel, zonnebloemolie, dextrose), water, rode kool 20%, hamburger 16% (varkensvlees, rundvlees, water, zetmeel, zeezout, gedroogde groenten (ui), varkenseiwit, zout, specerijen, groentepoeder (ui, knoflook), natuurlijk aroma, groenten (geroosterde ui, kool, prei, ui, paprika, knoflook, knolSELDERIJ), plantaardige olie (zonnebloemolie), SELDERIJblad, gekaramelliseerde suiker), appelsap uit sapconcentraat, appelmoes (appelen, zuurteregelaar: citroenzuur, antioxidant: ascorbinezuur), gegrilde uien 2%, appelen, suiker, zetmeel, plantaardige oliën (zonnebloem, koolzaad, in wisselende verhoudingen), fond (zetmeel, TARWEbloem, natuurlijk aroma, zout, sucrose, tomaat extract, wortelextract, dextrose, koolzaadolie, witte wijn extract, kalfsvlees, knoflook, peper, maltodextrine, oplosbare cichorei, tomaten, rundvet, rundsvlees), TARWEbloem, gemodificeerd zetmeel, zout, tomatenconcentraat, alcoholazijn, kleurstof: karamel, citroensap, specerijen.",https://www.versaantafel.nl/runderburger-in-uiensaus-met-rode-kool-en-gebakken-aardappelen
Hollandse maaltijden,Gebakken heekfilet in botersaus met Parijse worteltjes en gebakken gekruide aardappelblokjes,"Aardappelkubus gekruid 30% (aardappel, zonnebloemolie, kruiden, zout, knoflook, specerijen, dextrose), wortelen 29%, Kaapse heek gebakken MSC 20% (VIS, plantaardige olie (raapzaadolie, geheel geharde raapzaadolie), coating (suiker, dextrose)), water, ROOM, witte wijn, sjalotten, bouillon (visfond (KABELJAUWextract, KOOLVISextract), glucose, maltodextrine, zout, plantaardige olie (koolzaad, zonnebloem), uienextract, kruidenextracten, peperextract), magereMELKpoeder, dijonmosterd (water, MOSTERDzaad, azijn, zout, voedingszuur: citroenzuur), BOTER, citroensap uit sapconcentraat, TARWEbloem, gemodificeerd zetmeel, suiker, zonnebloemolie, zout, witte peper, peterselie.",https://www.versaantafel.nl/gebakken-visfilet-in-botersaus-met-parijse-wortelen-aardappel-kubus-gekruid
Hollandse maaltijden,Kipstoofpotje in champignonsaus met appelcompote en gebakken gekruide aardappelblokjes,"Gebakken aardappelblokjes 28% (aardappelen, zonnebloemolie, kruiden, zout, knoflook, specerijen, dextrose), appel 23% (appel, zuurteregelaar: citroenzuur, antioxidant: ascorbinezuur), water, kippenvlees 14% (kip, zout, kippengelatine), halfvolle MELK, champignons, suiker, gemodificeerd zetmeel, ROOM, bouillon (kippenfond (water, kippenvet, kippenvlees, rozemarijnextract), zout, bruine suiker, zetmeel, gistextract, zonnebloemolie, groente-extracten (SELDERIJ, uien, prei, tomaten, wortelen), uienpoeder, knoflook, kruiden en specerijen), TARWEbloem, citroensap uit concentraat, zout, specerijen.",https://www.versaantafel.nl/kipstoofpotje-met-champignons-appelcompote-en-gebakken-aardappelblokjes
Hollandse maaltijden,Kipfilet in oma's jus met rabarbercompote en gebakken aardappelblokjes,"Aardappelkubus gebakken 25% (aardappel, zonnebloemolie, dextrose), water, rabarber 17%, kipfilet 16% (kip, zetmeel, dextrose, maltodextrine, zout, d-xylose), bier (water, mout (GERST), TARWE, hops, kruiden, natuurlijke sinaasappelschil, suiker, gist), champignons, appelen, suiker, uien, appelmoes (appelen, zuurteregelaar: citroenzuur, antioxidant: ascorbinezuur), room (MELK), zilverui, wortelen, gemodificeerd zetmeel, sinaasappelsap uit concentraat, bouillon (kippenfond (water, kippenvet, kippenextract, gedroogd kippenvlees), zout, bruine suiker, zetmeel, groente-extracten (wortelen, uien, bloemkool, tomaten, champignons), plantaardige olie (zonnebloem, koolzaad), suiker, kruiden, specerij-extract, specerijen, lavas, knoflook), TARWEbloem, kleurstof: karamel, rode wijnazijn (rode wijnazijn, conserveermiddel: kaliumdisulfiet), plantaardige oliën (zonnebloem, koolzaad, in wisselende verhoudingen), zout, peterselie, gember, knoflook, specerijen.",https://www.versaantafel.nl/kipfilet-met-huisgemaakte-rabarbercompote-en-gebakken-aardappelschijfjes
Hollandse maaltijden,Gesneden varkensvlees in jus met savooiekool en gekookte aardappelen,"Aardappelen 29%, water, savooikool 23%, varkensvlees 15%, zonnebloemolie, TARWEbloem, volleMELKpoeder, gemodificeerd zetmeel, zetmeel, bouillon (zout, gistextract, zetmeel, zonnebloemolie, groente-extracten (SELDERIJ, uien, prei, tomaten, wortelen), uienpoeder, knoflook, kruiden en specerijen), kleurstof: karamel, tomatenconcentraat, zout, fond (zetmeel, TARWEbloem, natuurlijk aroma, zout, sacharose, tomaten, wortelextract, dextrose, zonnebloemolie, witte wijn extract, kalfsvlees, knoflook, peper) en specerijen.",https://www.versaantafel.nl/dungesneden-varkensvlees-in-jus-met-savooiekool-en-gekookte-aardappelen
Hollandse maaltijden,Blinde vink in jus met rode bietjes en aardappelblokjes in kaassaus,"water, aardappelen 22%, rode biet 21%, blinde vink 14% (varkensvlees, rundsvlees, water, zetmeel, zout, voedingsvezels, dextrose, specerijen), appelen, boter (MELK), appelsap uit sapconcentraat, aperitiefwijn, gemodificeerd zetmeel, magereMELKpoeder, rundvleesextract (rundvlees, zout), TARWEbloem, balsamico azijn, plantaardige oliën (zonnebloem, koolzaad, in wisselende verhoudingen), kaas (MELK) 0,3%, zout, suiker, kleurstof: karamel, knoflook, tijm, knoflook, garam masala (specerijen, mangopoeder, laurier), specerijen.",https://www.versaantafel.nl/blinde-vink-met-rode-bietjes-en-aardappelschijfjes-in-romige-kaassaus
Hollandse maaltijden,Vissticks in botersaus met tuttifrutti en gebakken gekruide aardappelblokjes,"Tutti frutti bereiding 38% (sinaasappelsap uit concentraat, geweld fruit 11% (water, gedroogde abrikozen (SULFIET) 3%, gedroogde peren (SULFIET) 2%), water, gedroogde pruimen ontpit 3% (pruimen, conserveermiddel: kaliumsorbaat), suiker, appelen 2%, gemodificeerd zetmeel, boter (MELK), citroensap, specerijen), ALASKA POLLAK visstick 21% (ALASKA POLLAK, TARWEbloem, plantaardige oliën (zonnebloem en/of koolzaad), zetmeel (TARWE, maïs), zout, specerijen, kleurstof: paprika extract), gebakken aardappelblokjes 20% (aardappel, zonnebloemolie, kruiden, zout, knoflook, specerijen, dextrose), water, magereMELKpoeder, bouillon (visfond (KABELJAUWextract, ANSJOVISextract, KOOLVISextract), glucose, zonnebloemolie, maltodextrine, zout, uienextract, kruidenextracten, peperextract), boter (MELK), room (MELK), sjalotten, citroensap, gemodificeerd zetmeel, TARWEbloem, suiker, bieslook, zout, peper.",https://www.versaantafel.nl/vissticks-met-tuttifrutti-en-gebakken-aardappelen
Hollandse maaltijden,Runderlapje in uienjus met snijboontjes en aardappelpuree,"Snijbonen 29%, aardappelen 21%, water, runderlapje 16% (rundvlees, water, tapiocameel, natuurlijk aroma, zout, gekarameliseerde suiker, peper, ui, knoflook, kruiden), uien, zonnebloemolie, sjalotten, volleMELKpoeder, gemodificeerd zetmeel, rundvleesextract (rundvlees, zout), EIgeel, BOTER, zout, azijn, suiker, tomatenconcentraat, groentebouillon (groente-extracten (wortelen, uien, bloemkool, tomaten, champignons, lavas, knoflook), zout, plantaardige olie (koolzaad, zonnebloem), suiker, zetmeel, kruiden, specerijen, specerij-extract), kleurstof: karamel, kruiden en specerijen. Let op! Deze maaltijd kan door kruiscontaminatie sporen van gluten bevatten.",https://www.versaantafel.nl/runderlapje-in-jus-met-snijbonen-en-aardappelpuree
Hollandse maaltijden,Gehaktbal in jus met bloemkool- en broccoliroosjes en gekookte aardappelen,"Aardappelen 28%, broccoli 17%, water, bloemkool 16%, gehaktbal gegaard 16% (varkensvlees, rundvlees, water, zetmeel, zeezout, ui, varkenseiwit, zout, specerijen, uienpoeder, knoflookpoeder, gekarameliseerde suiker), plantaardige oliën (zonnebloem, koolzaad, in wisselende verhoudingen), rundvleesextract (rundvlees, zout), TARWEbloem, gemodificeerd zetmeel, zout, kleurstof: karamel, specerijen. Let op! Deze maaltijd kan door kruiscontaminatie sporen van melk (lactose) bevatten.",https://www.versaantafel.nl/gehaktbal-in-jus-met-bloemkool-en-broccoliroosjes-en-gekookte-aardappelen
Hollandse maaltijden,Erwtensoep (maaltijdsoep) met plakjes rookworst en spek,"Water, groene spliterwt 11%, rookworst 6% (varkensvlees, water, varkensspek, rundvlees, zetmeel, zout, specerijen, rookaroma, duindoornpoeder, conserveermiddel: natriumnitriet, rook), aardappelen, erwten 4%, knolSELDERIJ, wortelen, prei, spek 2% (varkensvlees, water, zout, dextrose, natuurlijk aroma, stabilisatoren: pentanatriumtrifosfaat, antioxidant: natriumascorbaat, conserveermiddel: natriumnitiriet, rook), uien, plantaardige oliën (zonnebloem, koolzaad, in wisselende verhoudingen), zetmeel, zout, groentebouillon (zout, gistextract, zetmeel, zonnebloemolie, groente-extracten (SELDERIJ, uien, tomaten, wortelen), uienpoeder, knoflook, specerijen), peper. Let op! Deze maaltijd kan door kruiscontaminatie sporen van gluten of melk (lactose) bevatten.",https://www.versaantafel.nl/erwtensoep
Hollandse maaltijden,Rundergehaktbal in jus met spinazie à la crème en gekookte aardappelen,"Aardappelen 31%, spinazie 27%, water, gehaktbal 15% (rundvlees, water, paneermeel (TARWEbloem, TARWEzemelen, gist, zout), gedroogde uien, zout, rundereiwit, kruiden en specerijen, uienpoeder, knoflookpoeder, kleurstof: karamel), zonnebloemolie, magereMELKpoeder, gemodificeerd zetmeel, rundvleesextract (rundvlees, zout), TARWEbloem, ROOM 0,3%, zout, kleurstof: karamel, specerijen.",https://www.versaantafel.nl/rundergehaktbal-in-jus-met-romige-bladspinazie-en-gekookte-aardappelen
Hollandse maaltijden,Runderlapje in jus met schorseneren in bechamelsaus en gekookte aardappelen,"Water, aardappelen 30%, schorseneren 19%, runderlapje 14% (rundsvlees 95%, water, zetmeel, natuurlijk aroma, zout, gekaramelliseerde suiker, gemengde kruiden en specerijen, groentenpoeder (knoflook)), volleMELKpoeder, KAAS, TARWEbloem, gemodificeerd zetmeel, koolzaadolie, rundvleesextract (rundvlees, zout), azijn, BOTER, zout, kleurstof: karamel, specerijen.",https://www.versaantafel.nl/runderlapje-met-schorseneren-gekookte-aardappelen
Hollandse maaltijden,Alaska Pollakfilet in Hollandaisesaus met rode bietjes en aardappelpuree,"Rode biet 25%, ALASKA POLLAK 20%, aardappelen 18%, water, appelen, plantaardige oliën (zonnebloem, koolzaad, in wisselende verhoudingen), appelsap uit sapconcentraat, tomaten, boter (MELK), aperitiefwijn, room (MELK), volleMELKpoeder, gemodificeerd zetmeel, uien, EIgeel, balsamico azijn, TARWEbloem, zout, suiker, citroensap uit sapconcentraat, bouillon (zout, natuurlijk aroma, zetmeel, zonnebloemolie, groente-extracten (SELDERIJ, uien, tomaten, wortelen), uienpoeder, knoflook, specerijen), garam masala (specerijen, mangopoeder, laurier), kruiden en specerijen.",https://www.versaantafel.nl/alaska-pollakfilet-in-hollandaisesaus-met-rode-bietjes-en-aardappelpuree
